S1, S2, Ctr, File#
25.9, 26.0, 30.3, 0000
26.1, 26.2, 30.7, 0001
26.6, 26.7, 33.6, 0002
27.3, 27.4, 33.0, 0003
27.9, 28.0, 34.0, 0004
28.3, 28.4, 35.0, 0005
29.0, 29.0, 36.2, 0006
29.5, 29.6, 37.1, 0007
30.0, 30.2, 38.1, 0008
30.4, 30.6, 39.1, 0009
31.0, 31.0, 40.0, 0010
31.3, 31.4, 41.1, 0011
33.6, 33.5, 42.1, 0012
34.2, 34.2, 43.0, 0013
34.4, 34.4, 43.9, 0014
34.5, 34.5, 44.0, 0015
34.8, 34.7, 45.0, 0016
35.0, 35.0, 46.1, 0017
35.4, 35.4, 46.9, 0018
35.7, 35.7, 48.0, 0019
35.9, 35.9, 48.9, 0020
36.3, 36.3, 49.9, 0021
36.6, 36.6, 51.0, 0022
37.0, 37.0, 51.9, 0023
37.3, 37.3, 53.0, 0024
37.8, 37.7, 54.0, 0025
38.2, 38.1, 55.0, 0026
