UTC datetime,Mon Jul 11 20:02:35 2022
UTC timestamp,1657594955.413654
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 20,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v",
      "pin_id": 31,
      "pin_delay": 500,
      "sensor_type": "unknown",
      "ref_resistance": null,
      "ref_voltage": null,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1068499,31,16383
1069208,31,16383
1069915,31,16383
1070622,31,16383
1071329,31,16383
1072036,31,16383
1072743,31,16383
1073450,31,16383
1074158,31,16383
1074866,31,16383
1075580,31,16383
1076287,31,16383
1076995,31,16383
1077703,31,16383
1078410,31,16383
1079124,31,16383
1079831,31,16383
1080545,31,16383
1081252,31,16383
1081960,31,16383
1082666,31,16383
1083374,31,16383
1084082,31,16383
1084789,31,16383
1085497,31,16383
1086205,31,16383
1086913,31,16383
1087619,31,16383
1088327,31,16383
1089034,31,16383
1089741,31,16383
1090449,31,16383
1091157,31,16383
1091865,31,16383
1092579,31,16383
1093287,31,16383
1093994,31,16383
1094702,31,16383
1095409,31,16383
1096123,31,16383
1096830,31,16383
1097544,31,16383
1098252,31,16383
1098959,31,16383
1099668,31,16383
1100375,31,16383
1101082,31,16383
1101790,31,16383
1102498,31,16383
1103205,31,16383
1103913,31,16383
1104619,31,16383
1105327,31,16383
1106034,31,16383
1106742,31,16383
1107449,31,16383
1108157,31,16383
1108865,31,16383
1109579,31,16383
1110286,31,16383
1110994,31,16383
1111702,31,16383
1112409,31,16383
1113123,31,16383
1113830,31,16383
1114544,31,16383
1115252,31,16383
1115959,31,16383
1116667,31,16383
1117375,31,16383
1118083,31,16383
1118790,31,16383
1119498,31,16383
1120206,31,16383
1120914,31,16383
1121622,31,16383
1122330,31,16383
1123037,31,16383
1123745,31,16383
1124452,31,16383
1125160,31,16383
1125868,31,16383
1126582,31,16383
1127290,31,16383
1127997,31,16383
1128705,31,16383
1129412,31,16383
1130126,31,16383
1130834,31,16383
1131548,31,16383
1132255,31,16383
1132963,31,16383
1133671,31,16383
1134379,31,16383
1135086,31,16383
1135794,31,16383
1136502,31,16383
1137210,31,16383
1137917,31,16383
1138625,31,16383
1139333,31,16383
1140040,31,16383
1140747,31,16383
1141455,31,16383
1142162,31,16383
1142871,31,16383
1143581,31,16383
1144289,31,16383
1144996,31,16383
1145704,31,16383
1146411,31,16383
1147125,31,16383
1147833,31,16383
1148547,31,16383
1149254,31,16383
1149962,31,16383
1150669,31,16383
1151376,31,16383
1152084,31,16383
1152792,31,16383
1153499,31,16383
1154208,31,16383
1154915,31,16383
1155621,31,16383
1156329,31,16383
1157035,31,16383
1157743,31,16383
1158451,31,16383
1159159,31,16383
1159867,31,16383
1160581,31,16383
1161288,31,16383
1161995,31,16383
1162703,31,16383
1163411,31,16383
1164124,31,16383
1164832,31,16383
1165545,31,16383
1166253,31,16383
