UTC datetime,Wed Aug  9 20:18:07 2023
UTC timestamp,1691612287.526816
`---`,,
{
  "program_name": "Multi Device Example",
  "data_file_prefix": "../analysis_code/thermistor_data/multi_device_example/mde_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "TEST ARDUINO 1",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "duration",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Channel 1",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "00"
        },
        {
          "channel_name": "Channel 2",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "01"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,TIME,CH,ADC
1691612287.8765256,0,29,72813,13220
1691612287.8765256,0,11,72945,16383
1691612287.876721,0,29,74211,13304
1691612287.876721,0,11,74313,16383
1691612287.876849,0,29,75545,13296
1691612287.876849,0,11,75646,16383
1691612287.8769696,0,29,76872,13312
1691612287.8769696,0,11,76973,16383
1691612287.877089,0,29,78201,13317
1691612287.877089,0,11,78302,16383
1691612287.8771875,0,29,79534,13310
1691612287.8771875,0,11,79635,16383
1691612287.8776364,0,29,80862,13332
1691612287.8776364,0,11,80963,16383
1691612287.8777483,0,29,82190,13298
1691612287.8777483,0,11,82292,16383
1691612287.8791409,0,29,83524,13308
1691612287.8791409,0,11,83626,16383
1691612287.8805819,0,29,84852,13284
1691612287.8805819,0,11,84954,16383
1691612287.8825648,0,29,86181,13311
1691612287.8825648,0,11,86282,16383
1691612287.8839533,0,29,87515,13347
1691612287.8839533,0,11,87616,16383
1691612287.8855238,0,29,88843,13306
1691612287.8855238,0,11,88945,16383
1691612287.885638,0,11,90273,16383
1691612287.8876119,0,29,91499,13323
1691612287.8876119,0,11,91600,16383
1691612287.8889763,0,29,92828,13298
1691612287.8889763,0,11,92930,16383
1691612287.8905387,0,29,94157,13327
1691612287.8905387,0,11,94259,16383
1691612287.8925362,0,29,95486,13300
1691612287.8925362,0,11,95587,16383
1691612287.892684,0,29,96814,13294
1691612287.892684,0,11,96916,16383
1691612287.893977,0,29,98143,13308
1691612287.893977,0,11,98245,16383
1691612287.895559,0,29,99472,13290
1691612287.895559,0,11,99573,16383
1691612287.8969584,0,29,100800,13335
1691612287.8969584,0,11,100901,16383
1691612287.898926,0,29,102129,13307
1691612287.898926,0,11,102230,16383
1691612287.8990152,0,29,103457,13282
1691612287.8990152,0,11,103558,16383
1691612287.900575,0,29,104785,13299
1691612287.900575,0,11,104886,16383
1691612287.9019544,0,29,106113,13309
1691612287.9019544,0,11,106214,16383
1691612287.9035287,0,29,107441,13300
1691612287.9035287,0,11,107543,16383
1691612287.905512,0,29,108769,13336
1691612287.905512,0,11,108870,16383
1691612287.9069061,0,29,110097,13331
1691612287.9069061,0,11,110197,16383
1691612287.907025,0,29,111424,13307
1691612287.907025,0,11,111531,16383
1691612287.9085586,0,29,112759,13315
1691612287.9085586,0,11,112860,16383
1691612287.9105346,0,29,114087,13297
1691612287.9105346,0,11,114188,16383
1691612287.9119368,0,29,115414,13304
1691612287.9119368,0,11,115521,16383
1691612287.9134922,0,29,116748,12983
1691612287.9134922,0,11,116849,16383
1691612287.9136105,0,29,118076,13287
1691612287.9136105,0,11,118177,16383
1691612287.9155667,0,29,119403,13308
1691612287.9155667,0,11,119510,16383
1691612287.916948,0,29,120738,13298
1691612287.916948,0,11,120839,16383
1691612287.9185412,0,29,122066,13292
1691612287.9185412,0,11,122167,16383
1691612287.9205005,0,29,123393,13302
1691612287.9205005,0,11,123494,16383
1691612287.920617,0,29,124721,13307
1691612287.920617,0,11,124822,16383
