UTC datetime,Wed Aug  9 20:19:48 2023
UTC timestamp,1691612388.69357
`---`,,
{
  "program_name": "Multi Device Example",
  "data_file_prefix": "../analysis_code/thermistor_data/multi_device_example/mde_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "TEST ARDUINO 1",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "duration",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Channel 1",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "00"
        },
        {
          "channel_name": "Channel 2",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "01"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,CH,TIME,ADC
1691612389.0343907,0,29,70813,13227
1691612389.0343907,0,11,70944,16383
1691612389.036242,0,29,72210,13259
1691612389.036242,0,11,72311,16383
1691612389.0363588,0,29,73543,13174
1691612389.0363588,0,11,73644,16383
1691612389.0377326,0,29,74871,13205
1691612389.0377326,0,11,74972,16383
1691612389.039267,0,29,76200,13214
1691612389.039267,0,11,76301,16383
1691612389.0412657,0,29,77533,13235
1691612389.0412657,0,11,77635,16383
1691612389.0426633,0,29,78862,13232
1691612389.0426633,0,11,78963,16383
1691612389.042788,0,29,80189,13251
1691612389.042788,0,11,80290,16383
1691612389.0442758,0,29,81523,13205
1691612389.0442758,0,11,81624,16383
1691612389.0462785,0,29,82851,13248
1691612389.0462785,0,11,82953,16383
1691612389.0476782,0,29,84179,13224
1691612389.0476782,0,11,84280,16383
1691612389.049228,0,29,85513,13207
1691612389.049228,0,11,85614,16383
1691612389.0512173,0,29,86842,13243
1691612389.0512173,0,11,86943,16383
1691612389.0513468,0,29,88170,13366
1691612389.0513468,0,11,88271,16383
1691612389.052709,0,29,89497,13255
1691612389.052709,0,11,89598,16383
1691612389.0542483,0,29,90825,13253
1691612389.0542483,0,11,90926,16383
1691612389.0556626,0,29,92153,13189
1691612389.0556626,0,11,92255,16383
1691612389.0576408,0,29,93485,13264
1691612389.0576408,0,11,93586,16383
1691612389.0577664,0,29,94814,13246
1691612389.0577664,0,11,94915,16383
1691612389.0592694,0,29,96143,13237
1691612389.0592694,0,11,96244,16383
1691612389.0606937,0,29,97471,13246
1691612389.0606937,0,11,97573,16383
1691612389.062237,0,29,98800,13234
1691612389.062237,0,11,98901,16383
1691612389.064229,0,29,100128,13240
1691612389.064229,0,11,100230,16383
1691612389.064356,0,29,101456,13236
1691612389.064356,0,11,101558,16383
1691612389.06572,0,29,102784,13255
1691612389.06572,0,11,102885,16383
1691612389.0672581,0,29,104113,13224
1691612389.0672581,0,11,104214,16383
1691612389.0692608,0,29,105442,13235
1691612389.0692608,0,11,105543,16383
1691612389.0706565,0,29,106770,13206
1691612389.0706565,0,11,106871,16383
1691612389.07221,0,29,108098,13247
1691612389.07221,0,11,108199,16383
1691612389.0723028,0,29,109425,13226
1691612389.0723028,0,11,109532,16383
1691612389.0742843,0,29,110760,13250
1691612389.0742843,0,11,110862,16383
1691612389.0756836,0,29,112088,13189
1691612389.0756836,0,11,112189,16383
1691612389.0772324,0,29,113416,13236
1691612389.0772324,0,11,113523,16383
1691612389.079221,0,29,114751,13246
1691612389.079221,0,11,114853,16383
1691612389.0793421,0,29,116079,13218
1691612389.0793421,0,11,116180,16383
1691612389.080712,0,29,117407,13249
1691612389.080712,0,11,117514,16383
1691612389.0822527,0,29,118743,13239
1691612389.0822527,0,11,118844,16383
1691612389.0836725,0,29,120071,13236
1691612389.0836725,0,11,120171,16383
1691612389.08565,0,29,121398,13322
1691612389.08565,0,11,121499,16383
1691612389.0857716,0,29,122727,13040
1691612389.0857716,0,11,122828,16383
1691612389.0872715,0,29,124055,13246
1691612389.0872715,0,11,124156,16383
1691612389.0886962,0,29,125383,13260
1691612389.0886962,0,11,125484,16383
1691612389.0902407,0,29,126712,13224
1691612389.0902407,0,11,126813,16383
1691612389.0922348,0,29,128040,13331
1691612389.0922348,0,11,128141,16383
1691612389.093633,0,29,129368,13230
1691612389.093633,0,11,129469,16383
1691612389.09375,0,29,130696,13248
1691612389.09375,0,11,130797,16383
1691612389.0952604,0,29,132024,13269
1691612389.0952604,0,11,132125,16383
1691612389.0966828,0,29,133352,13235
1691612389.0966828,0,11,133453,16383
1691612389.0986652,0,29,134681,13226
1691612389.0986652,0,11,134782,16383
1691612389.1002162,0,29,136009,13236
1691612389.1002162,0,11,136110,16383
1691612389.100306,0,29,137337,13177
1691612389.100306,0,11,137441,16383
1691612389.1017122,0,29,138669,13248
1691612389.1017122,0,11,138770,16383
1691612389.1036818,0,29,139997,13222
1691612389.1036818,0,11,140098,16383
1691612389.1052382,0,29,141325,13233
1691612389.1052382,0,11,141426,16383
1691612389.107227,0,29,142659,13276
1691612389.107227,0,11,142760,16383
1691612389.107347,0,29,143986,13233
1691612389.107347,0,11,144088,16383
1691612389.108711,0,29,145314,13248
1691612389.108711,0,11,145415,16383
1691612389.110257,0,29,146649,13267
1691612389.110257,0,11,146750,16383
1691612389.1116745,0,29,147977,13239
1691612389.1116745,0,11,148078,16383
1691612389.113226,0,29,149304,13239
1691612389.113226,0,11,149406,16383
1691612389.1152134,0,29,150639,13257
1691612389.1152134,0,11,150740,16383
1691612389.1153312,0,29,151967,13246
1691612389.1153312,0,11,152068,16383
1691612389.1166923,0,29,153295,13229
1691612389.1166923,0,11,153396,16383
1691612389.118261,0,29,154628,13243
1691612389.118261,0,11,154730,16383
1691612389.1202414,0,29,155957,13217
1691612389.1202414,0,11,156058,16383
1691612389.1216362,0,29,157284,13261
1691612389.1216362,0,11,157386,16383
1691612389.1217456,0,29,158618,13230
1691612389.1217456,0,11,158720,16383
1691612389.1232662,0,29,159946,13227
1691612389.1232662,0,11,160047,16383
1691612389.1246889,0,29,161274,13209
