UTC datetime,Sat Jul 23 01:16:55 2022
UTC timestamp,1658564215.832117
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 13,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    },
    {
      "channel_name": "v-",
      "pin_id": 12,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1087603,13,4374
1087703,12,12589
1088926,13,4240
1089027,12,12412
1090250,13,2976
1090350,12,10935
1091579,13,344
1091679,12,8451
1092902,13,0
1093003,12,7096
1094182,13,0
1094283,12,6792
1095463,13,0
1095564,12,7075
1096744,13,0
1096845,12,7398
1098025,13,160
1098125,12,8577
1099304,13,3233
1099405,12,11542
1100634,13,4515
1100735,12,12684
1101958,13,4619
1102058,12,12809
1103282,13,4464
1103382,12,12624
1104605,13,4379
1104705,12,12561
1105928,13,4234
1106028,12,12381
1107251,13,2026
1107352,12,10018
1108577,13,0
1108677,12,7931
1109856,13,0
1109957,12,6898
1111137,13,0
1111238,12,6931
1112418,13,0
1112524,12,7152
1113705,13,0
1113806,12,7380
1114985,13,899
1115086,12,9330
1116308,13,3956
1116408,12,12404
1117638,13,4512
1117738,12,12718
1118961,13,4569
1119062,12,12822
1120284,13,4387
1120384,12,12599
1121607,13,4319
1121708,12,12517
1122931,13,3853
1123031,12,11973
1124254,13,1267
1124354,12,9250
1125577,13,0
1125677,12,7430
1126856,13,0
1126957,12,6702
1128137,13,0
1128238,12,6990
1129418,13,0
1129524,12,7228
1130704,13,0
1130805,12,7488
1131985,13,1460
1132085,12,10380
1133308,13,4600
1133408,12,12760
1134638,13,4643
1134739,12,12748
1135961,13,4448
1136062,12,12777
1137285,13,4366
1137386,12,12540
1138614,13,4255
1138715,12,12470
1139938,13,3048
1140038,12,11087
1141260,13,451
1141361,12,8506
1142584,13,0
1142684,12,7136
1143863,13,0
1143964,12,6751
1145144,13,0
1145245,12,7075
1146425,13,0
1146531,12,7234
1147711,13,18
1147812,12,8462
1148992,13,3139
1149092,12,11522
1150316,13,4481
1150416,12,12760
1151645,13,4503
1151745,12,12791
1152969,13,4394
1153069,12,13035
1154291,13,4322
1154392,12,12580
1155622,13,4232
1155722,12,12419
1156945,13,2105
1157046,12,10094
1158269,13,0
1158370,12,7877
1159554,13,0
1159655,12,6831
1160834,13,0
1160934,12,6845
1162115,13,0
1162215,12,7122
1163395,13,0
1163496,12,7407
1164677,13,733
1164778,12,9237
1166001,13,3923
1166102,12,12295
1167324,13,4516
1167425,12,12699
1168653,13,4537
1168754,12,12713
1169976,13,4404
1170077,12,12540
1171299,13,4300
1171399,12,12432
