UTC datetime,Fri Feb 17 23:10:59 2023
UTC timestamp,1676675459.723466
`---`,,
{
  "program_name": "Teaching Example",
  "data_file_prefix": "../analysis_code/teaching_example/example_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "Artemis ATP",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "indefinite",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Thermistor",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "03"
        },
        {
          "channel_name": "Ungrounded",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "voltage",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "Unknown"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,TIME,CH,ADC
1676675460.0641623,0,71815,29,10392
1676675460.0641623,0,71946,11,16383
1676675460.0661533,0,73209,29,10346
1676675460.0661533,0,73310,11,16383
1676675460.0662823,0,74543,29,10460
1676675460.0662823,0,74644,11,16383
1676675460.067605,0,75871,29,10450
1676675460.067605,0,75972,11,16383
1676675460.0691621,0,77199,29,10448
1676675460.0691621,0,77301,11,16383
1676675460.0705688,0,78533,29,10442
1676675460.0705688,0,78634,11,16383
1676675460.0725737,0,79861,29,10463
1676675460.0725737,0,79962,11,16383
1676675460.0727255,0,81188,29,10452
1676675460.0727255,0,81290,11,16383
1676675460.0741835,0,82521,29,10469
1676675460.0741835,0,82623,11,16383
1676675460.075586,0,83850,29,10477
1676675460.075586,0,83951,11,16383
1676675460.07715,0,85177,29,10472
1676675460.07715,0,85279,11,16383
1676675460.0791264,0,86511,29,10472
1676675460.0791264,0,86612,11,16383
1676675460.080533,0,87839,29,10446
1676675460.080533,0,87940,11,16383
1676675460.080661,0,89168,29,10470
1676675460.080661,0,89269,11,16383
1676675460.082166,0,90496,29,10437
1676675460.082166,0,90598,11,16383
1676675460.08357,0,91826,29,10456
1676675460.08357,0,91927,11,16383
1676675460.085144,0,93155,29,10460
1676675460.085144,0,93256,11,16383
1676675460.0871167,0,94483,29,10460
1676675460.0871167,0,94585,11,16383
1676675460.0872173,0,95812,29,10493
1676675460.0872173,0,95913,11,16383
1676675460.0885901,0,97140,29,10463
1676675460.0885901,0,97241,11,16383
1676675460.0901713,0,98468,29,10456
1676675460.0901713,0,98570,11,16383
1676675460.092137,0,99796,29,10464
1676675460.092137,0,99897,11,16383
1676675460.0935488,0,101125,29,10473
1676675460.0935488,0,101226,11,16383
1676675460.0936775,0,102452,29,10484
1676675460.0936775,0,102553,11,16383
1676675460.0951755,0,103781,29,10463
1676675460.0951755,0,103882,11,16383
1676675460.097179,0,105109,29,10468
1676675460.097179,0,105211,11,16383
1676675460.0985637,0,106441,29,10481
1676675460.0985637,0,106543,11,16383
1676675460.1001363,0,107770,29,10462
1676675460.1001363,0,107871,11,16383
1676675460.1021094,0,109097,29,10421
1676675460.1021094,0,109198,11,16383
1676675460.1022053,0,110426,29,10468
1676675460.1022053,0,110533,11,16383
1676675460.1035848,0,111759,29,10488
1676675460.1035848,0,111861,11,16383
1676675460.1051674,0,113087,29,10486
1676675460.1051674,0,113188,11,16383
1676675460.1065524,0,114415,29,10462
1676675460.1065524,0,114522,11,16383
1676675460.1085432,0,115749,29,10482
1676675460.1085432,0,115850,11,16383
1676675460.108674,0,117078,29,10470
1676675460.108674,0,117179,11,16383
1676675460.1101701,0,118406,29,10475
1676675460.1101701,0,118513,11,16383
1676675460.111593,0,119740,29,10463
1676675460.111593,0,119841,11,16383
1676675460.113139,0,121068,29,10473
1676675460.113139,0,121169,11,16383
1676675460.1151283,0,122395,29,10462
1676675460.1151283,0,122496,11,16383
1676675460.1152585,0,123724,29,10474
1676675460.1152585,0,123825,11,16383
1676675460.1165926,0,125052,29,10476
1676675460.1165926,0,125153,11,16383
1676675460.1181757,0,126380,29,10435
1676675460.1181757,0,126481,11,16383
1676675460.1201444,0,127708,29,10449
1676675460.1201444,0,127809,11,16383
1676675460.121555,0,129035,29,10458
1676675460.121555,0,129136,11,16383
1676675460.1231093,0,130363,29,10461
1676675460.1231093,0,130464,11,16383
1676675460.1232038,0,131692,29,10483
1676675460.1232038,0,131793,11,16383
1676675460.1245818,0,133020,29,10478
1676675460.1245818,0,133121,11,16383
1676675460.1261625,0,134347,29,10482
1676675460.1261625,0,134448,11,16383
1676675460.1281323,0,135675,29,10458
1676675460.1281323,0,135776,11,16383
1676675460.1295426,0,137002,29,10470
1676675460.1295426,0,137103,11,16383
1676675460.1296678,0,138330,29,10453
1676675460.1296678,0,138437,11,16383
1676675460.1311672,0,139664,29,10459
1676675460.1311672,0,139765,11,16383
1676675460.1331692,0,140991,29,10481
1676675460.1331692,0,141092,11,16383
1676675460.1345565,0,142318,29,10490
1676675460.1345565,0,142419,11,16383
1676675460.1361282,0,143652,29,10463
1676675460.1361282,0,143754,11,16383
1676675460.1362548,0,144980,29,10455
1676675460.1362548,0,145081,11,16383
1676675460.1381752,0,146307,29,10463
1676675460.1381752,0,146408,11,16383
1676675460.1395981,0,147642,29,10425
1676675460.1395981,0,147743,11,16383
1676675460.1411421,0,148970,29,10452
1676675460.1411421,0,149071,11,16383
1676675460.1425562,0,150297,29,10443
1676675460.1425562,0,150398,11,16383
1676675460.144534,0,151632,29,10485
1676675460.144534,0,151733,11,16383
1676675460.1446648,0,152959,29,10475
1676675460.1446648,0,153060,11,16383
1676675460.1461623,0,154287,29,10453
1676675460.1461623,0,154388,11,16383
1676675460.1475825,0,155621,29,10467
1676675460.1475825,0,155723,11,16383
1676675460.1491308,0,156950,29,10451
