UTC datetime,Mon Jul 11 20:03:52 2022
UTC timestamp,1657595032.085979
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 20,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v",
      "pin_id": 31,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1070747,31,16383
1071454,31,16383
1072162,31,16383
1072870,31,16383
1073582,31,16383
1074289,31,16383
1074996,31,16383
1075705,31,16383
1076412,31,16383
1077126,31,16383
1077833,31,16383
1078547,31,16383
1079254,31,16383
1079962,31,16383
1080670,31,16383
1081377,31,16383
1082085,31,16383
1082792,31,16383
1083500,31,16383
1084208,31,16383
1084916,31,16383
1085622,31,16383
1086329,31,16383
1087036,31,16383
1087744,31,16383
1088451,31,16383
1089160,31,16383
1089868,31,16383
1090582,31,16383
1091289,31,16383
1091997,31,16383
1092704,31,16383
1093412,31,16383
1094125,31,16383
1094833,31,16383
1095546,31,16383
1096254,31,16383
1096961,31,16383
1097670,31,16383
1098377,31,16383
1099085,31,16383
1099792,31,16383
1100500,31,16383
1101208,31,16383
1101915,31,16383
1102622,31,16383
1103329,31,16383
1104036,31,16383
1104743,31,16383
1105450,31,16383
1106158,31,16383
1106867,31,16383
1107581,31,16383
1108288,31,16383
1108995,31,16383
1109703,31,16383
1110411,31,16383
1111124,31,16383
1111832,31,16383
1112545,31,16383
1113253,31,16383
1113960,31,16383
1114669,31,16383
1115376,31,16383
1116084,31,16383
1116791,31,16383
1117499,31,16383
1118207,31,16383
1118915,31,16383
1119621,31,16383
1120329,31,16383
1121037,31,16383
1121744,31,16383
1122452,31,16383
1123161,31,16383
1123869,31,16383
1124580,31,16383
1125287,31,16383
1125995,31,16383
1126703,31,16383
1127410,31,16383
1128124,31,16383
1128831,31,16383
1129545,31,16383
1130253,31,16383
1130961,31,16383
1131669,31,16383
1132377,31,16383
1133085,31,16383
1133792,31,16383
1134500,31,16383
1135209,31,16383
1135916,31,16383
1136624,31,16383
1137332,31,16383
1138039,31,16383
1139454,31,16383
1140163,31,16383
1140870,31,16383
1141581,31,16383
1142289,31,16383
1142996,31,16383
1143704,31,16383
1144412,31,16383
1145125,31,16383
1145833,31,16383
1146547,31,16383
1147254,31,16383
1147962,31,16383
1148671,31,16383
1149378,31,16383
1150086,31,16383
1150793,31,16383
1151502,31,16383
1152210,31,16383
1152917,31,16383
1153625,31,16383
1154333,31,16383
1155040,31,16383
1155747,31,16383
1156455,31,16383
1157163,31,16383
1157871,31,16383
1158582,31,16383
1159290,31,16383
1159997,31,16383
1160705,31,16383
1161413,31,16383
1162126,31,16383
1162834,31,16383
1163548,31,16383
1164255,31,16383
1164963,31,16383
1165671,31,16383
1166379,31,16383
1167086,31,16383
1167794,31,16383
1168502,31,16383
