UTC datetime,Sat Jul 23 02:02:43 2022
UTC timestamp,1658566963.73963
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 30,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 35,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1070177,35,16383
1070884,35,16383
1071593,35,16383
1072301,35,16383
1073010,35,16383
1073718,35,16383
1074427,35,16383
1075141,35,16383
1075849,35,16383
1076563,35,16383
1077272,35,16383
1077980,35,16383
1078688,35,16383
1079396,35,16383
1080111,35,16383
1080819,35,16383
1081533,35,16383
1082242,35,16383
1082949,35,16383
1083658,35,16383
1084365,35,16383
1085072,35,16383
1085780,35,16383
1086488,35,16383
1087197,35,16383
1087905,35,16383
1088614,35,16383
1089322,35,16383
1090030,35,16383
1090738,35,16383
1091447,35,16383
1092156,35,16383
1092863,35,16383
1093578,35,16383
1094287,35,16383
1094995,35,16383
1095702,35,16383
1096410,35,16383
1097124,35,16383
1097832,35,16383
1098545,35,16383
1099254,35,16383
1099963,35,16383
1100670,35,16383
1101379,35,16383
1102087,35,16383
1102796,35,16383
1103503,35,16383
1104211,35,16383
1104920,35,16383
1105628,35,16383
1106335,35,16383
1107044,35,16383
1107752,35,16383
1108461,35,16383
1109169,35,16383
1109877,35,16383
1110586,35,16383
1111294,35,16383
1112002,35,16383
1112710,35,16383
1113418,35,16383
1114132,35,16383
1114841,35,16383
1115556,35,16383
1116264,35,16383
1116973,35,16383
1117680,35,16383
1118389,35,16383
1119102,35,16383
1119810,35,16383
1120523,35,16383
1121232,35,16383
1121941,35,16383
1122650,35,16383
1123359,35,16383
1124066,35,16383
1124773,35,16383
1125481,35,16383
1126190,35,16383
1126899,35,16383
1127608,35,16383
1128316,35,16383
1129024,35,16383
1129733,35,16383
1130445,35,16383
1131154,35,16383
1131862,35,16383
1132575,35,16383
1133283,35,16383
1133992,35,16383
1134699,35,16383
1135408,35,16383
1136122,35,16383
1136831,35,16383
1137545,35,16383
1138254,35,16383
1138963,35,16383
1139670,35,16383
1140379,35,16383
1141086,35,16383
1141794,35,16383
1142501,35,16383
1143210,35,16383
1143918,35,16383
1144627,35,16383
1145335,35,16383
1146043,35,16383
1146752,35,16383
1147460,35,16383
1148169,35,16383
1148877,35,16383
1149584,35,16383
1150293,35,16383
1151001,35,16383
1151709,35,16383
1152417,35,16383
1153132,35,16383
1153839,35,16383
1154554,35,16383
1155263,35,16383
1155971,35,16383
1156678,35,16383
1157387,35,16383
1158101,35,16383
1158810,35,16383
1159524,35,16383
1160233,35,16383
1160942,35,16383
1161650,35,16383
1162358,35,16383
1163067,35,16383
1163774,35,16383
1164483,35,16383
1165191,35,16383
1165900,35,16383
1166608,35,16383
1167316,35,16383
