T1, T2, TC, File#
25.8, 25.9, 25.4, 0021
25.9, 25.9, 25.4, 0022
25.8, 25.9, 25.4, 0023
26.8, 26.9, 26.3, 0024
26.8, 26.9, 26.3, 0025
26.9, 26.9, 26.3, 0026
27.5, 27.7, 27.1, 0028
27.7, 27.9, 27.3, 0029
27.7, 27.8, 27.3, 0030
28.8, 28.8, 28.3, 0031
28.8, 28.9, 28.3, 0032
28.8, 28.8, 28.2, 0033
29.6, 29.7, 29.2, 0034
29.7, 29.7, 29.2, 0035
29.7, 29.8, 29.2, 0036
30.7, 30.8, 30.2, 0037
30.6, 30.7, 30.2, 0038
30.6, 30.7, 30.2, 0039
31.7, 31.7, 31.2, 0040
31.7, 31.7, 31.2, 0041
31.7, 31.8, 31.2, 0042
32.6, 32.7, 32.1, 0043
32.6, 32.7, 32.1, 0044
32.7, 32.8, 32.1, 0045
33.7, 33.7, 33.2, 0046
33.7, 33.7, 33.2, 0047
33.7, 33.7, 33.2, 0048
33.7, 33.7, 33.2, 0049
34.7, 34.7, 34.1, 0050
34.7, 34.7, 34.1, 0051
34.7, 34.7, 34.1, 0052
35.5, 35.5, 35.0, 0053
35.6, 35.6, 35.1, 0054
35.6, 35.7, 35.1, 0055
36.6, 36.7, 36.0, 0056
36.6, 36.6, 36.1, 0057
36.6, 36.6, 36.1, 0058
37.7, 37.7, 37.1, 0059
37.7, 37.7, 37.1, 0060
37.8, 37.8, 37.1, 0061
38.6, 38.7, 38.1, 0062
38.7, 38.7, 38.1, 0063
38.7, 38.7, 38.0, 0064
39.7, 39.6, 39.0, 0065
39.6, 39.7, 39.0, 0066
39.7, 39.7, 39.0, 0067
40.7, 40.8, 40.0, 0068
40.7, 40.7, 40.0, 0069
40.7, 40.7, 40.0, 0070
41.8, 41.8, 41.0, 0071
41.8, 41.8, 41.0, 0072
41.7, 41.8, 41.0, 0073
42.7, 42.6, 41.9, 0074
42.8, 42.7, 41.9, 0075
42.7, 42.7, 41.9, 0076
43.7, 43.7, 43.0, 0077
43.7, 43.7, 43.0, 0078
43.7, 43.7, 43.0, 0079
44.7, 44.7, 43.9, 0080
44.6, 44.6, 43.9, 0081
44.6, 44.7, 43.9, 0082
45.8, 45.8, 45.0, 0083
45.7, 45.7, 45.0, 0084
45.7, 45.7, 45.0, 0085
46.7, 46.8, 46.0, 0086
46.7, 46.8, 46.0, 0087
46.7, 46.7, 46.0, 0088
47.7, 47.7, 46.9, 0089
47.7, 47.7, 46.9, 0090
47.7, 47.7, 47.0, 0091
48.8, 48.7, 48.0, 0092
48.8, 48.8, 48.0, 0093
48.8, 48.8, 48.0, 0094
49.7, 49.7, 49.0, 0095
49.7, 49.7, 48.9, 0096
49.7, 49.7, 48.9, 0097
50.7, 50.7, 49.9, 0098
50.8, 50.7, 49.9, 0099
50.8, 50.7, 49.9, 0100
51.7, 51.6, 50.8, 0101
51.8, 51.8, 50.9, 0102
51.8, 51.7, 50.9, 0103
52.7, 52.7, 51.8, 0104
52.7, 52.7, 51.8, 0105
52.7, 52.7, 51.8, 0106
53.7, 53.7, 52.9, 0107
53.7, 53.7, 52.9, 0108
53.7, 53.7, 52.8, 0109
54.7, 54.7, 53.9, 0110
54.8, 54.7, 53.9, 0111
54.7, 54.8, 53.9, 0112
55.6, 55.6, 54.9, 0113
55.6, 55.6, 54.8, 0114
55.6, 55.6, 54.8, 0115

