TIME,CH,ADC
121181728,14,359
121181848,19,360
121182992,14,360
121183112,19,361
121184260,14,359
121184384,19,361
121185528,14,359
121185648,19,362
121186792,14,360
121186912,19,362
121188056,14,360
121188176,19,360
121189320,14,359
121189440,19,360
121190584,14,359
121190704,19,360
121191848,14,360
121191968,19,361
121193112,14,359
121193232,19,361
121194376,14,360
121194500,19,361
121195648,14,358
121195768,19,359
121196912,14,361
121197032,19,361
121198176,14,358
121198296,19,360
121199440,14,359
121199560,19,360
121200704,14,359
121200824,19,360
121201968,14,359
121202088,19,359
121203232,14,359
121203352,19,360
121204496,14,359
121204616,19,360
121205768,14,359
121205888,19,360
121207032,14,359
121207152,19,361
121208296,14,359
121208416,19,361
121209560,14,359
121209680,19,360
121210824,14,359
121210944,19,360
121212088,14,359
121212208,19,360
121213352,14,359
121213472,19,360
121214616,14,359
121214736,19,360
121215880,14,360
121216008,19,361
121217152,14,359
121217272,19,360
121218416,14,359
121218536,19,360
121219680,14,359
121219800,19,360
121220944,14,359
121221064,19,360
121222208,14,359
121222328,19,360
121223472,14,360
121223592,19,361
121224736,14,359
121224856,19,360
121226000,14,359
121226120,19,360
121227272,14,359
121227392,19,360
121228536,14,359
121228656,19,360
121229800,14,359
121229920,19,361
121231064,14,359
121231184,19,361
121232328,14,360
121232448,19,361
121233592,14,359
121233712,19,360
121234856,14,358
121234976,19,360
121236120,14,359
121236240,19,360
121237384,14,360
121237508,19,361
121238656,14,359
121238776,19,360
121239920,14,358
121240040,19,360
121241184,14,359
121241304,19,360
121242448,14,359
121242568,19,360
121243712,14,359
121243832,19,360
121244976,14,359
121245096,19,360
121246240,14,359
121246360,19,361
121247504,14,359
121247624,19,360
121248772,14,359
121248896,19,360
121250040,14,359
121250160,19,360
121251304,14,359
121251424,19,361
121252568,14,359
121252688,19,360
121253832,14,359
121253952,19,360
121255096,14,359
121255216,19,360
121256360,14,359
121256480,19,360
121257624,14,359
121257744,19,360
121258888,14,359
121259016,19,360
121260160,14,359
121260280,19,360
121261424,14,359
121261544,19,360
121262688,14,359
121262808,19,360
121263952,14,359
121264072,19,361
121265216,14,359
121265336,19,360
121266480,14,360
121266600,19,360
121267744,14,359
121267864,19,360
121269008,14,359
121269128,19,360
121270276,14,359
121270400,19,360
121271544,14,359
121271664,19,360
121272808,14,359
121272928,19,360
121274072,14,359
121274192,19,360
121275336,14,359
121275456,19,360
121276600,14,359
121276720,19,360
121277864,14,359
121277984,19,360
121279128,14,359
121279248,19,360
121280392,14,359
121280516,19,360
121281664,14,359
121281784,19,361
121282928,14,359
121283048,19,361
121284192,14,359
121284312,19,360
121285456,14,359
121285576,19,360
121286720,14,359
121286840,19,360
121287984,14,359
121288104,19,361
121289248,14,359
121289368,19,360
121290512,14,359
121290632,19,360
121291780,14,359
121291904,19,360
121293048,14,359
121293168,19,360
121294312,14,359
121294432,19,360
121295576,14,359
121295696,19,360
121296840,14,359
121296960,19,360
121298104,14,359
121298224,19,360
121299368,14,359
121299488,19,360
121300632,14,359
121300752,19,360
121301896,14,359
121302024,19,360
121303168,14,360
121303288,19,360
121304432,14,359
121304552,19,360
121305696,14,360
121305816,19,360
121306960,14,359
121307080,19,361
64,0,359
121372736,14,358
121372856,19,359
121374000,14,359
121374120,19,360
121375264,14,359
121375384,19,360
121376528,14,358
121376648,19,359
121377796,14,360
121377920,19,360
121379064,14,358
121379184,19,359
121380328,14,360
121380448,19,360
121381592,14,360
121381712,19,361
121382856,14,360
121382976,19,361
121384240,19,360
121385384,14,359
121385504,19,360
121386648,14,359
121386768,19,360
121388036,19,361
121389184,14,360
121389304,19,362
121390448,14,360
121390568,19,360
121391712,14,360
121391832,19,362
121392976,14,361
121393096,19,361
121394240,14,359
121394360,19,360
121395504,14,359
121395624,19,360
121396768,14,359
121396888,19,361
121398032,14,360
121398152,19,361
121399300,14,359
121399424,19,360
121400568,14,361
121400688,19,361
121401832,14,359
121401952,19,360
121403096,14,359
121403216,19,360
121404360,14,359
121404480,19,361
121405624,14,359
121405744,19,360
121406888,14,359
121407008,19,361
121408152,14,360
121408272,19,361
121409416,14,359
121409540,19,360
121410688,14,359
121410808,19,360
121411952,14,359
121412072,19,360
121413216,14,359
121413336,19,360
121414480,14,359
121414600,19,360
121415744,14,359
121415864,19,361
121417008,14,360
121417128,19,361
121418272,14,359
121418392,19,360
121419536,14,359
121419656,19,360
121420804,14,359
121420928,19,360
121422072,14,360
121422192,19,362
121423336,14,360
121423456,19,361
121424600,14,361
121424720,19,362
121425864,14,360
121425984,19,361
121427128,14,360
121427248,19,361
121428392,14,359
121428512,19,360
121429656,14,360
121429776,19,362
121430920,14,361
121431048,19,362
121432192,14,360
121432312,19,361
121433456,14,359
121433576,19,360
121434720,14,359
121434840,19,360
121435984,14,359
121436104,19,360
121437248,14,359
121437368,19,361
121438512,14,359
121438632,19,360
121439776,14,359
121439896,19,360
121441040,14,360
121441160,19,362
121442312,14,359
121442432,19,360
121443576,14,359
121443696,19,361
121444840,14,359
121444960,19,361
121446104,14,359
121446224,19,360
121447368,14,359
121447488,19,360
121448632,14,359
121448752,19,361
121449896,14,359
121450016,19,361
121451160,14,360
121451280,19,361
121452424,14,359
121452548,19,361
121453696,14,360
121453816,19,360
121454960,14,360
121455080,19,362
121456224,14,360
121456344,19,361
121457488,14,360
121457608,19,362
121458752,14,360
121458872,19,362
121460016,14,359
121460136,19,361
121461280,14,360
121461400,19,362
121462544,14,362
121462664,19,361
121463812,14,359
121463936,19,360
121465080,14,359
121465200,19,360
121466344,14,359
121466464,19,360
121467608,14,359
121467728,19,361
121468872,14,359
121468992,19,361
121470136,14,359
121470256,19,360
121471400,14,360
121471520,19,361
121472664,14,359
121472784,19,361
121473928,14,360
121474052,19,361
121475200,14,360
121475320,19,361
121476464,14,358
121476584,19,360
121477728,14,359
121477848,19,360
121478992,14,359
