TIME,CH,ADC
363105488,11,12977
363105595,34,1132
363106905,11,13340
363107012,34,998
363108323,11,13007
363108429,34,907
363109745,11,13000
363109851,34,863
363111162,11,13001
363111269,34,776
363112577,11,12999
363112684,34,734
363113994,11,13004
363114101,34,696
363115410,11,12980
363115523,34,669
363116834,11,12974
363116940,34,657
363118250,11,12994
363118356,34,649
363119666,11,13028
363119773,34,647
363121083,11,13036
363121190,34,651
363122500,11,13607
363122607,34,672
363123916,11,13266
363124022,34,676
363125333,11,12978
363125443,34,672
363126754,11,13001
363126860,34,667
363128171,11,12983
363128277,34,657
363129586,11,12962
363129693,34,639
363131003,11,13006
363131110,34,646
363132419,11,13016
363132531,34,625
363133842,11,12982
363133949,34,623
363135259,11,13004
363135365,34,615
363136676,11,13029
363136782,34,630
363138093,11,13018
363138199,34,641
363139515,11,12988
363139622,34,643
363140932,11,13006
363141038,34,660
363142349,11,13010
363142455,34,658
363143765,11,12921
363143872,34,626
363145181,11,12952
363145288,34,639
363146598,11,13000
363146704,34,630
363148014,11,13004
363148121,34,625
363149430,11,13002
363149542,34,618
363150854,11,12987
363150960,34,623
363152271,11,12999
363152378,34,618
363153688,11,13007
363153794,34,628
363155105,11,13001
363155212,34,641
363156529,11,12954
363156635,34,646
363157946,11,13027
363158052,34,651
363159362,11,12979
363159469,34,643
363160779,11,13020
363160886,34,643
363162195,11,13055
363162302,34,638
363163612,11,13060
363163718,34,636
363165028,11,12995
363165135,34,609
363166445,11,13006
363166552,34,615
363167862,11,13009
363167969,34,618
363169279,11,13009
363169386,34,620
363170702,11,12909
363170809,34,626
363172119,11,12935
363172226,34,635
363173542,11,12867
363173649,34,642
363174959,11,13012
363175066,34,647
363176376,11,12980
363176482,34,641
363177793,11,12979
363177899,34,638
363179209,11,13041
363179316,34,647
363180627,11,13000
363180734,34,631
363182043,11,13479
363182149,34,622
363183459,11,13031
363183566,34,618
363184877,11,12981
363184984,34,610
363186294,11,13001
363186401,34,627
363187717,11,12976
363187824,34,632
363189133,11,12987
363189239,34,637
363190555,11,12998
363190661,34,648
363191972,11,12990
363192078,34,648
363193388,11,12999
363193494,34,647
363194805,11,13003
363194911,34,635
363196222,11,12993
363196328,34,630
363197639,11,12979
363197746,34,623
363199056,11,13032
363199162,34,615
363200471,11,13012
363200578,34,614
363201889,11,13010
363201995,34,615
363203305,11,13027
363203411,34,610
363204727,11,13021
363204834,34,638
363206144,11,13050
363206251,34,645
363207567,11,13000
363207673,34,646
363208983,11,13014
363209090,34,646
363210399,11,12991
363210512,34,643
363211823,11,13005
363211929,34,631
363213239,11,13004
363213345,34,622
363214655,11,13020
363214761,34,615
363216072,11,13005
363216178,34,614
363217488,11,13011
363217595,34,612
363218906,11,12980
363219012,34,622
363220322,11,12962
363220429,34,621
363221745,11,12992
363221852,34,635
363223162,11,13004
363223269,34,606
363224579,11,12992
363224685,34,651
363225995,11,12993
363226102,34,651
363227411,11,12998
363227523,34,640
363228835,11,13006
363228942,34,640
363230252,11,13005
363230358,34,620
363231669,11,12861
363231776,34,610
363233086,11,13030
363233192,34,611
363234502,11,12984
363234609,34,616
363235920,11,12978
363236026,34,618
363237337,11,13007
363237443,34,625
363238754,11,13060
363238861,34,642
363240172,11,12996
363240278,34,651
363241588,11,12986
363241695,34,650
363243005,11,12988
363243112,34,642
363244421,11,13022
363244533,34,634
363245844,11,12994
363245951,34,632
363247260,11,13000
363247367,34,621
363248677,11,13000
363248784,34,607
363250094,11,13003
363250201,34,598
363251515,11,12999
363251622,34,615
363252932,11,13006
363253038,34,624
363254348,11,13000
363254454,34,628
363255764,11,12990
363255871,34,637
363257180,11,13026
363257287,34,642
363258597,11,12924
363258703,34,640
363260013,11,13010
363260120,34,635
363261429,11,13020
363261541,34,628
363262853,11,12962
363262959,34,620
363264270,11,12973
363264377,34,605
363265687,11,12998
363265794,34,606
363267103,11,13014
363267210,34,607
363268526,11,12988
363268633,34,609
363269943,11,13007
363270050,34,608
363271360,11,12996
363271466,34,592
363272776,11,12995
363272883,34,652
363274192,11,13002
363274299,34,646
363275609,11,13003
363275716,34,644
363277026,11,12991
363277133,34,633
363278442,11,12941
363278549,34,616
363279859,11,12989
363279966,34,624
363281276,11,13016
363281383,34,612
363282693,11,13012
363282800,34,607
363284109,11,12985
363284216,34,606
363285532,11,12979
363285639,34,612
363286950,11,12824
363287057,34,617
363288367,11,13006
363288473,34,627
363289783,11,12979
363289890,34,636
363291200,11,12925
363291306,34,640
363292616,11,13001
363292723,34,635
363294033,11,13010
363294139,34,627
363295449,11,13000
363295556,34,624
363296865,11,13000
363296972,34,611
363298282,11,12911
363298389,34,601
363299704,11,13008
363299811,34,605
363301120,11,13000
363301227,34,601
363302543,11,12993
363302650,34,615
363303960,11,12984
363304067,34,628
363305377,11,13001
363305483,34,632
363306794,11,13017
363306901,34,636
363308210,11,12991
363308317,34,638
363309628,11,13001
363309734,34,632
363311045,11,13011
363311151,34,626
363312460,11,13000
363312567,34,614
363313876,11,12984
363313983,34,614
363315292,11,12998
363315399,34,605
363316715,11,12975
363316821,34,604
363318131,11,12999
363318237,34,608
363319553,11,12985
363319660,34,615
363320970,11,13562
363321076,34,633
363322387,11,12962
363322494,34,639
363323804,11,13007
363323911,34,643
363325220,11,13042
363325327,34,640
363326638,11,12979
363326745,34,637
363328055,11,13009
363328162,34,627
363329472,11,13019
363329579,34,621
363330890,11,13002
363330996,34,616
363332307,11,12983
363332414,34,605
363333730,11,13000
363333836,34,609
363335147,11,13006
363335253,34,613
363336570,11,12958
363336676,34,613
363337986,11,12988
363338093,34,639
363339402,11,12941
363339514,34,638
363340825,11,13008
363340932,34,638
363342241,11,12996
363342348,34,646
363343658,11,12990
363343764,34,635
363345075,11,12990
363345181,34,624
363346491,11,12995
363346598,34,621
363347909,11,12989
363348015,34,613
363349326,11,13058
363349432,34,613
363350748,11,12995
363350855,34,614
363352165,11,13018
363352272,34,618
363353582,11,13010
363353689,34,626
363354999,11,13002
363355106,34,634
363356415,11,13010
363356527,34,641
363357838,11,13000
363357945,34,641
363359254,11,13014
363359361,34,641
363360670,11,13005
363360777,34,630
363362087,11,13254
363362193,34,620
363363510,11,13010
363363617,34,616
363364928,11,13008
363365035,34,611
363366345,11,13000
363366451,34,600
363367761,11,13011
363367868,34,595
363369177,11,12993
363369284,34,625
363370594,11,13026
363370700,34,631
363372010,11,13009
363372117,34,640
363373427,11,12985
363373539,34,643
363374849,11,13025
363374956,34,640
363376265,11,13002
363376372,34,636
363377682,11,13016
363377789,34,641
363379100,11,12997
363379206,34,606
363380522,11,12990
363380629,34,612
363381938,11,12978
363382045,34,606
363383356,11,13011
363383462,34,608
363384772,11,12998
363384879,34,614
363386189,11,13020
363386295,34,624
363387605,11,12974
363387712,34,629
363389022,11,13006
363389128,34,636
363390443,11,13010
363390550,34,635
363391860,11,13000
363391966,34,643
363393277,11,12997
363393384,34,629
363394700,11,12993
363394807,34,626
363396117,11,13011
363396224,34,613
363397540,11,13003
363397647,34,613
363398956,11,13020
363399063,34,609
363400373,11,13074
363400479,34,618
363401789,11,13370
363401896,34,630
363403206,11,12984
363403313,34,632
363404623,11,13029
363404730,34,639
363406041,11,13016
363406147,34,644
363407456,11,13012
363407563,34,636
363408872,11,13028
363408979,34,635
363410290,11,13001
363410396,34,632
363411713,11,13028
363411819,34,626
363413130,11,12997
363413237,34,613
363414552,11,13008
363414658,34,613
363415969,11,12995
363416075,34,607
363417385,11,12996
363417491,34,614
363418802,11,12988
363418909,34,623
363420219,11,12995
363420326,34,624
