TIME,CH,ADC
3005515704,14,335
3005515832,19,237
3005516976,14,335
3005517104,19,237
3005518248,14,336
3005518376,19,237
3005519520,14,336
3005519648,19,237
3005520792,14,335
3005520920,19,237
3005522064,14,336
3005522192,19,237
3005523336,14,335
3005523464,19,237
3005524608,14,336
3005524736,19,237
3005525872,14,335
3005526000,19,237
3005527144,14,336
3005527272,19,237
3005528416,14,336
3005528544,19,237
3005529680,14,335
3005529808,19,237
3005530952,14,335
3005531080,19,237
3005532224,14,335
3005532352,19,237
3005533496,14,336
3005533624,19,238
3005534768,14,335
3005534896,19,237
3005536040,14,335
3005536168,19,237
3005537312,14,335
3005537440,19,237
3005538584,14,335
3005538712,19,237
3005539856,14,335
3005539984,19,237
3005541128,14,335
3005541256,19,237
3005542408,14,335
3005542536,19,237
3005543680,14,335
3005543808,19,237
3005544952,14,335
3005545080,19,237
3005546224,14,335
3005546352,19,237
3005547496,14,335
3005547624,19,237
3005548768,14,336
3005548896,19,237
3005550040,14,335
3005550168,19,237
3005551312,14,336
3005551440,19,237
3005552584,14,335
3005552712,19,237
3005553856,14,336
3005553984,19,237
3005555128,14,335
3005555256,19,237
3005556400,14,335
3005556528,19,237
3005557672,14,335
3005558944,14,335
3005559072,19,237
3005560216,14,335
3005560344,19,237
3005561488,14,335
3005562760,14,336
3005562888,19,237
3005564032,14,335
3005564160,19,237
3005565296,14,335
3005565424,19,237
3005566568,14,335
3005566696,19,237
3005567840,14,335
3005567968,19,237
3005569112,14,335
3005569240,19,237
3005570376,14,335
3005570504,19,237
3005571648,14,335
3005571776,19,236
3005572920,14,335
3005573048,19,237
3005574192,14,336
3005574320,19,237
3005575464,14,335
3005575592,19,237
3005576736,14,335
3005576864,19,237
3005578008,14,335
3005578136,19,237
3005579280,14,335
3005579408,19,237
3005580552,14,335
3005580680,19,237
3005581824,14,336
3005581952,19,237
3005583096,14,335
3005583224,19,237
3005584368,14,335
3005584504,19,237
3005585648,14,335
3005585776,19,237
3005586920,14,335
3005587048,19,237
3005588192,14,336
3005588320,19,237
3005589464,14,337
3005589592,19,238
3005590736,14,335
3005590864,19,237
3005592008,14,335
3005592136,19,237
3005593280,14,336
3005593408,19,237
3005594552,14,336
3005594680,19,237
3005595824,14,336
3005595952,19,237
3005597096,14,335
3005597224,19,237
3005598368,14,336
3005598496,19,237
3005599640,14,335
3005599768,19,237
3005600912,14,335
3005601040,19,237
3005602184,14,336
3005602312,19,237
3005603456,14,335
