TIME,CH,ADC
3274152072,14,356
3274152200,19,263
3274153360,14,357
3274153488,19,262
3274154648,14,357
3274154776,19,262
3274148320,19,262
3274149488,14,356
3274149616,19,262
3274150776,14,357
3274150904,19,263
3274152072,14,356
3274152200,19,263
3274153360,14,357
3274153488,19,262
3274154648,14,357
3274154776,19,262
3274155944,14,356
3274156072,19,261
3274157232,14,356
3274157360,19,261
3274158528,14,356
3274158656,19,261
3274159816,14,355
3274159944,19,262
3274161112,14,357
3274161240,19,262
3274162400,14,355
3274162528,19,262
3274163696,14,357
3274163824,19,262
3274164992,14,357
3274165120,19,262
3274166280,14,356
3274166408,19,263
3274167568,14,356
3274167696,19,262
3274168856,14,356
3274168984,19,262
3274170152,14,357
3274170280,19,263
3274171440,14,357
3274171568,19,262
3274172728,14,357
3274172856,19,264
3274174024,14,358
3274174152,19,263
3274175312,14,358
3274175440,19,264
3274176608,14,357
3274176736,19,263
3274177896,14,357
3274178024,19,263
3274179184,14,357
3274179312,19,263
3274180472,14,358
3274180600,19,263
3274181768,14,356
3274181896,19,262
3274183064,14,358
3274183192,19,264
3274184352,14,358
3274184480,19,264
3274185648,14,358
3274185776,19,263
3274186936,14,359
3274187064,19,264
3274188224,14,356
3274188352,19,262
3274189520,14,357
3274189648,19,262
3274190808,14,356
3274190936,19,262
3274192104,14,357
3274192232,19,262
3274193392,14,357
3274193520,19,263
3274194680,14,356
3274194808,19,263
3274195976,14,357
3274196104,19,263
3274197264,14,357
3274197392,19,263
3274198552,14,358
3274198680,19,264
3274199840,14,357
3274199968,19,263
3274201128,14,357
3274201256,19,263
3274202416,14,358
3274202544,19,264
3274203704,14,357
3274203832,19,263
3274204992,14,356
3274205120,19,263
3274206280,14,359
3274206408,19,265
3274207568,14,357
3274207696,19,263
3274208856,14,356
3274208984,19,263
3274210144,14,356
3274210272,19,263
3274211432,14,356
3274211560,19,263
3274212720,14,356
3274212848,19,263
3274214008,14,357
3274214136,19,264
3274215296,14,356
3274215432,19,262
3274216592,14,356
3274216720,19,263
3274217880,14,357
3274218008,19,263
3274219168,14,356
3274219296,19,263
3274220456,14,356
3274220584,19,263
3274221744,14,357
3274221872,19,263
3274223032,14,356
3274223160,19,263
3274224320,14,356
3274224448,19,263
3274225608,14,356
3274225736,19,263
3274226896,14,356
3274227024,19,263
3274228184,14,356
3274228312,19,264
3274229480,14,357
3274229608,19,263
3274230768,14,357
3274230904,19,264
3274232072,14,357
3274232200,19,263
3274233360,14,357
3274233488,19,263
3274234648,14,356
3274234776,19,263
3274235936,14,357
3274236064,19,263
3274237224,14,356
3274237352,19,263
3274238512,14,357
3274238640,19,264
3274239800,14,356
3274239928,19,263
3274241088,14,356
3274241216,19,263
3274242376,14,356
3274242504,19,263
3274243664,14,356
3274243792,19,263
3274244952,14,356
3274245080,19,263
3274246240,14,356
3274246368,19,263
3274247528,14,356
3274247656,19,263
3274248816,14,356
3274248944,19,263
3274250104,14,356
3274250232,19,263
3274251400,14,356
3274251528,19,263
3274252688,14,356
3274252816,19,263
3274253976,14,356
3274254104,19,263
3274255264,14,356
3274256552,14,356
3274256680,19,263
3274257840,14,356
3274257968,19,263
3274259128,14,356
3274260416,14,356
3274260544,19,263
3274261704,14,356
3274261832,19,263
3274262992,14,356
3274263120,19,263
3274264280,14,356
3274264408,19,263
3274265568,14,356
3274265696,19,263
3274266856,14,356
3274266984,19,263
3274268144,14,356
3274268272,19,264
3274269440,14,357
3274269568,19,264
3274270728,14,357
3274270856,19,264
3274272024,14,357
3274272152,19,264
3274273312,14,357
3274273440,19,264
3274274608,14,357
3274274736,19,264
3274275896,14,357
3274276024,19,264
3274277192,14,357
3274277320,19,264
3274278488,14,357
3274278616,19,264
3274279776,14,356
3274279904,19,264
3274281080,14,357
3274281208,19,265
3274282368,14,357
3274282496,19,264
3274283664,14,356
3274283792,19,264
3274284960,14,356
3274285088,19,264
3274286248,14,357
3274286376,19,265
3274287544,14,357
3274287672,19,264
3274288832,14,356
3274288960,19,264
3274290128,14,357
3274290256,19,264
3274291424,14,356
3274291552,19,264
3274292712,14,356
3274292840,19,264
3274294008,14,357
3274294136,19,264
3274295304,14,357
3274295432,19,264
3274296600,14,357
3274296728,19,264
3274297888,14,357
3274298016,19,265
3274299184,14,358
3274299312,19,265
3274300480,14,356
3274300608,19,264
3274301768,14,357
3274301896,19,264
3274303064,14,357
3274303192,19,264
3274304352,14,356
3274304480,19,264
3274305648,14,357
3274305776,19,264
3274306944,14,356
3274307072,19,264
3274308232,14,356
3274308360,19,264
3274309528,14,357
3274309656,19,264
3274310816,14,356
3274310944,19,264
3274312112,14,357
3274312240,19,264
3274313400,14,357
3274313528,19,265
3274314696,14,357
3274314824,19,264
3274315992,14,357
3274316120,19,264
3274317280,14,357
3274317408,19,264
3274318576,14,357
3274318704,19,264
3274319864,14,356
3274320000,19,264
3274321168,14,356
3274321296,19,264
3274322464,14,357
3274322592,19,264
3274323752,14,356
3274323880,19,265
3274325048,14,357
3274325176,19,264
3274326336,14,357
3274326464,19,264
3274327632,14,357
3274327760,19,264
3274328928,14,357
3274329056,19,264
3274330216,14,357
3274330344,19,265
3274331512,14,357
3274331640,19,264
3274332800,14,356
3274332928,19,265
3274334096,14,357
3274334224,19,265
3274335384,14,357
3274335512,19,265
3274336672,14,357
3274336800,19,265
3274337968,14,357
3274338096,19,265
3274339256,14,357
3274339384,19,265
3274340552,14,356
3274340680,19,265
3274341840,14,357
3274341968,19,265
3274343136,14,356
3274343264,19,265
3274344432,14,357
3274344568,19,265
3274345728,14,357
3274345856,19,266
3274347016,14,356
3274347144,19,265
3274348304,14,356
3274348432,19,265
3274349600,14,357
3274349728,19,266
3274350888,14,357
3274351016,19,266
3274352184,14,357
3274352312,19,265
3274353480,14,356
3274353608,19,265
3274354768,14,356
3274354896,19,265
3274356064,14,356
3274356192,19,265
3274357352,14,356
3274357480,19,265
3274358648,14,356
3274358776,19,265
3274359944,14,356
3274360072,19,265
3274361232,14,357
3274361360,19,266
3274362520,14,356
3274362648,19,265
3274363808,14,357
3274363936,19,266
3274365096,14,358
3274365224,19,266
3274366384,14,358
3274366512,19,266
3274367672,14,357
3274367800,19,265
3274368968,14,356
3274369096,19,265
3274370256,14,356
3274370384,19,265
3274371552,14,356
3274371680,19,265
3274372840,14,356
3274372968,19,265
3274374136,14,356
3274374272,19,266
3274375440,14,357
3274375568,19,265
3274376728,14,356
3274376856,19,265
3274378016,14,356
3274378144,19,265
3274379304,14,356
3274379432,19,266
3274380592,14,356
3274380720,19,265
3274381880,14,356
3274382008,19,266
3274383176,14,356
3274383304,19,265
3274384472,14,357
3274384600,19,265
3274385760,14,356
3274385888,19,265
3274387056,14,357
3274387184,19,266
3274388344,14,356
3274388472,19,265
3274389640,14,356
3274389768,19,265
3274390928,14,356
3274391056,19,265
3274392216,14,356
3274392344,19,266
3274393512,14,356
3274393640,19,265
3274394800,14,357
3274394928,19,266
3274396096,14,357
3274396224,19,265
3274397384,14,356
3274397512,19,266
3274398680,14,357
3274398808,19,266
3274399968,14,356
3274400096,19,266
3274401256,14,356
3274401384,19,266
3274402552,14,356
3274402680,19,266
3274403848,14,356
3274403976,19,266
3274405136,14,356
3274405264,19,266
3274406432,14,356
3274406560,19,266
3274407720,14,356
3274407848,19,267
3274409008,14,356
3274409136,19,266
3274410296,14,356
3274410424,19,266
3274411592,14,356
3274411720,19,266
3274412880,14,356
3274413008,19,266
3274414176,14,356
3274414304,19,266
3274415472,14,356
3274415600,19,266
3274416760,14,356
3274416888,19,266
3274418056,14,356
3274418184,19,266
3274419344,14,356
3274419472,19,266
3274420640,14,356
3274420768,19,266
3274421928,14,356
3274422056,19,266
3274423216,14,355
3274423344,19,266
3274424504,14,355
3274424632,19,266
3274425792,14,356
3274425920,19,266
3274427088,14,356
3274427216,19,266
3274428376,14,355
3274428504,19,266
3274429672,14,356
3274429800,19,266
3274430968,14,356
3274431096,19,266
3274432256,14,356
3274432384,19,266
3274433552,14,356
3274433680,19,266
3274434840,14,356
3274434968,19,266
3274436128,14,355
3274436256,19,266
3274437424,14,356
3274437552,19,266
3274438712,14,355
3274438840,19,266
3274440008,14,356
3274440136,19,266
3274507168,14,355
3274507296,19,266
3274508464,14,354
3274508592,19,266
3274509752,14,354
3274509880,19,266
3274511040,14,355
3274511168,19,266
3274512328,14,354
3274512456,19,266
3274513616,14,355
3274513744,19,267
3274514904,14,355
3274515032,19,267
3274516192,14,355
3274516320,19,267
3274517480,14,354
3274518768,14,355
3274518896,19,266
3274520064,14,355
3274520192,19,267
3274522640,14,354
3274522768,19,266
3274523928,14,355
3274524056,19,266
3274525216,14,354
3274525344,19,266
3274526512,14,355
3274526640,19,266
3274527800,14,354
3274527928,19,267
3274529088,14,354
